potential,current,current_filtered_50Hz,basecurrent_4
-116.125,-1.1070570675997418e-09,-1.0846868542777312e-10,-1.9315447731324897e-10
-116.625,-1.4376642033653499e-09,-3.3554155609965356e-10,-1.9277937261786543e-10
-117.125,-1.2119612549099828e-09,-8.111326530929796e-11,-1.9240471101710614e-10
-117.625,-2.88089150757291e-09,-5.305920553228277e-10,-1.920304922210701e-10
-118.125,-3.436406863102141e-09,-3.3540557307268325e-10,-1.9165671593993997e-10
-118.625,-3.0016902687180367e-09,-4.602249639574485e-10,-1.91283381883982e-10
-119.125,-1.8183392467108465e-09,-3.314693329589999e-10,-1.9091048976354605e-10
-119.625,-1.0188421828161295e-09,-1.1306574077079662e-10,-1.9053803928906564e-10
-120.125,-1.015663268049153e-09,-2.8012292913139504e-10,-1.9016603017105785e-10
-120.625,-8.821488478361186e-11,-1.0661821242202462e-10,-1.8979446212012345e-10
-121.125,4.18027291857476e-10,-5.07269494884173e-10,-1.8942333484694677e-10
-121.625,8.583069870837912e-10,-1.943347547133421e-10,-1.8905264806229584e-10
-122.125,6.723404732156363e-10,-5.530330982967366e-10,-1.886824014770222e-10
-122.625,2.3023290199830958e-09,2.0119119729973245e-11,-1.8831259480206113e-10
-123.125,2.7370456143672004e-09,-3.4036993185376535e-10,-1.8794322774843147e-10
-123.625,2.71638266838185e-09,-6.515881028064468e-12,-1.8757430002723565e-10
-124.125,1.1293094709685807e-09,-3.2827640245662397e-10,-1.872058113496598e-10
-124.625,5.086263627163208e-10,-3.731285301432686e-10,-1.8683776142697361e-10
-125.125,5.976359761916768e-10,-3.201849002680143e-10,-1.8647014997053042e-10
-125.625,-4.323324083088725e-10,-4.14160188451447e-10,-1.8610297669176716e-10
-126.125,-1.1221569127428824e-09,-7.676785051099551e-11,-1.8573624130220446e-10
-126.625,-1.3176601709119684e-09,-2.9793131780775984e-10,-1.8536994351344647e-10
-127.125,-1.225471642669635e-09,-7.923100340550362e-11,-1.8500408303718104e-10
-127.625,-2.8729442206554674e-09,-4.5010289632912125e-10,-1.8463865958517957e-10
-128.125,-3.550847794713313e-09,-3.4641274649545163e-10,-1.8427367286929716e-10
-128.625,-3.020763757319898e-09,-4.089095901042439e-10,-1.839091226014725e-10
-129.125,-1.8167497893273573e-09,-3.3995261825704405e-10,-1.8354500849372786e-10
-129.625,-1.048247144410667e-09,-1.140175908472503e-10,-1.8318133025816918e-10
-130.125,-1.1197727266676497e-09,-2.489154835484179e-10,-1.8281808760698605e-10
-130.625,-1.1444093161117216e-10,-1.6967146117153816e-10,-1.8245528025245157e-10
-131.125,6.429355116210992e-10,-4.095895677494888e-10,-1.8209290790692255e-10
-131.625,6.453196976963319e-10,-3.2446218046287003e-10,-1.8173097028283945e-10
-132.125,7.5340279977355e-10,-4.3830713710772555e-10,-1.8136946709272625e-10
-132.625,2.2904080896069313e-09,-1.1920933963199205e-10,-1.8100839804919064e-10
-133.125,2.858639104204071e-09,-2.8120123352093514e-10,-1.8064776286492389e-10
-133.625,2.508958479836601e-09,-5.7934083975550977e-11,-1.8028756125270087e-10
-134.125,1.1189779979759056e-09,-3.5422333752073377e-10,-1.7992779292538017e-10
-134.625,7.66118458841458e-10,-3.196416581644909e-10,-1.7956845759590385e-10
-135.125,4.943212462649241e-10,-4.0348002749680523e-10,-1.7920955497729772e-10
-135.625,-4.220009353161973e-10,-3.4390477378449345e-10,-1.7885108478267117e-10
-136.125,-1.227855828744868e-09,-1.5063604614257049e-10,-1.784930467252172e-10
-136.625,-1.316865442220224e-09,-2.431331724894438e-10,-1.7813544051821242e-10
-137.125,-1.1984508671503306e-09,-9.24837017479488e-11,-1.777782658750171e-10
-137.625,-2.747377087359876e-09,-4.1112578756515713e-10,-1.774215225090751e-10
-138.125,-3.5381321356454054e-09,-3.0583163289488315e-10,-1.7706521013391395e-10
-138.625,-3.0247374007786198e-09,-4.2098083751990236e-10,-1.767093284631447e-10
-139.125,-1.7007194003326971e-09,-2.8940989231175336e-10,-1.7635387721046215e-10
-139.625,-1.1754037350897473e-09,-1.365900971668894e-10,-1.759988560896446e-10
-140.125,-1.1380514865777675e-09,-2.496763338505098e-10,-1.756442648145541e-10
-140.625,-2.702077551930453e-11,-1.3373358385728515e-10,-1.7529010309913616e-10
-141.125,5.229314791677172e-10,-4.811176949654957e-10,-1.7493637065742007e-10
-141.625,7.295609390212225e-10,-2.7173087465118127e-10,-1.7458306720351866e-10
-142.125,6.14325278718306e-10,-5.2324966567777e-10,-1.742301924516284e-10
-142.625,2.1672251423865724e-09,-7.787771544819493e-11,-1.7387774611602938e-10
-143.125,2.8562549181288384e-09,-3.5178557180969266e-10,-1.7352572791108528e-10
-143.625,2.7553243742773185e-09,1.1549251358939577e-11,-1.7317413755124346e-10
-144.125,1.0331472992675263e-09,-4.408735334435546e-10,-1.7282297475103486e-10
-144.625,7.510186136983172e-10,-2.497075410758471e-10,-1.7247223922507407e-10
