potential,current,current_filtered_()Hz,current_filtered_50Hz
-134.25,-3.031492594658445e-08,-3.117916573446868e-08,-3.117916573446868e-08
-134.75,-2.978086826573232e-08,-3.068969666640899e-08,-3.068969666640899e-08
-135.25,-3.0539039437656334e-08,-3.134594444289053e-08,-3.134594444289054e-08
-135.75,-3.0454003467639704e-08,-3.1033142657134126e-08,-3.1033142657134146e-08
-136.25,-3.1472050921764085e-08,-3.1453923306193216e-08,-3.1453923306193236e-08
-136.75,-3.186226270941051e-08,-3.1377949470794946e-08,-3.137794947079497e-08
-137.25,-3.199259821485656e-08,-3.161928958000833e-08,-3.161928958000836e-08
-137.75,-3.235817341305892e-08,-3.1661081791105166e-08,-3.16610817911052e-08
-138.25,-3.311316567021597e-08,-3.18499911193226e-08,-3.184999111932265e-08
-138.75,-3.304164008795898e-08,-3.187546881100694e-08,-3.187546881100699e-08
-139.25,-3.2953425203175375e-08,-3.213008656704355e-08,-3.213008656704362e-08
-139.75,-3.303528225842503e-08,-3.203252728470956e-08,-3.203252728470962e-08
-140.25,-3.333727916128784e-08,-3.245687869296695e-08,-3.245687869296703e-08
-140.75,-3.247738271682056e-08,-3.217475829251652e-08,-3.2174758292516586e-08
-141.25,-3.2753153572855815e-08,-3.2738037042747986e-08,-3.2738037042748046e-08
-141.75,-3.2156312325355884e-08,-3.23701573824698e-08,-3.2370157382469825e-08
-142.25,-3.2517913880099515e-08,-3.2956393196392335e-08,-3.2956393196392335e-08
-142.75,-3.180265805752969e-08,-3.257606532672989e-08,-3.25760653267299e-08
-143.25,-3.191471480306563e-08,-3.3197410472418565e-08,-3.3197410472418565e-08
-143.75,-3.1646096505256075e-08,-3.278850048038987e-08,-3.2788500480389875e-08
-144.25,-3.276586923192373e-08,-3.34051493162345e-08,-3.340514931623449e-08
-144.75,-3.1998956044390515e-08,-3.3069733717842e-08,-3.306973371784198e-08
-145.25,-3.235896814175067e-08,-3.3543458673842865e-08,-3.354345867384283e-08
-145.75,-3.3134623344893057e-08,-3.3339090458698954e-08,-3.333909045869891e-08
-146.25,-3.3899947075042764e-08,-3.373586288635538e-08,-3.373586288635535e-08
-146.75,-3.362099730424054e-08,-3.3557052789519235e-08,-3.355705278951919e-08
-147.25,-3.447135700440689e-08,-3.3963794312888584e-08,-3.396379431288854e-08
-147.75,-3.4707391425854936e-08,-3.3820609227247856e-08,-3.382060922724779e-08
-148.25,-3.5259727866617185e-08,-3.4135908610324587e-08,-3.413590861032453e-08
-148.75,-3.5348737480092544e-08,-3.406306200736627e-08,-3.40630620073662e-08
-149.25,-3.5185818098284975e-08,-3.433859803894224e-08,-3.433859803894219e-08
-149.75,-3.4893357939723086e-08,-3.4225954153212296e-08,-3.4225954153212236e-08
-150.25,-3.554185655218638e-08,-3.4613380961618237e-08,-3.461338096161818e-08
-150.75,-3.4974420266281e-08,-3.443548280258599e-08,-3.4435482802585924e-08
-151.25,-3.4744743674366914e-08,-3.483861487301868e-08,-3.4838614873018616e-08
-151.75,-3.449122522170049e-08,-3.468028435553412e-08,-3.468028435553405e-08
-152.25,-3.4749512046517375e-08,-3.502036327344383e-08,-3.502036327344377e-08
-152.75,-3.400961963450349e-08,-3.4862437811627256e-08,-3.486243781162719e-08
-153.25,-3.3900741803734516e-08,-3.5262662571758536e-08,-3.526266257175847e-08
-153.75,-3.3996109246743835e-08,-3.5034281586922524e-08,-3.503428158692247e-08
-154.25,-3.480832196970645e-08,-3.550379809225106e-08,-3.550379809225104e-08
-154.75,-3.410816599227977e-08,-3.5238006259360684e-08,-3.5238006259360664e-08
-155.25,-3.457467173433364e-08,-3.568880883946272e-08,-3.568880883946271e-08
-155.75,-3.515164476453997e-08,-3.540095560446632e-08,-3.540095560446633e-08
-156.25,-3.6044125085368763e-08,-3.5933430659652325e-08,-3.593343065965235e-08
-156.75,-3.5673781515015936e-08,-3.5538031072742604e-08,-3.553803107274266e-08
-157.25,-3.671090245774219e-08,-3.618876773105254e-08,-3.6188767731052606e-08
-157.75,-3.66266612164173e-08,-3.5744607504946036e-08,-3.574460750494612e-08
