potential,current,current_filtered_50Hz,basecurrent_4,basecurrent_3
-112.5625,-4.83989773272249e-10,-1.6524855845033304e-09,-7.044287680125969e-10,-4.182833027793072e-08
-113.0625,-9.218852824233312e-10,-2.4956779548112145e-09,-7.022774279118392e-10,-4.171874048708352e-08
-113.5625,2.3126604929757704e-10,-1.887461885592536e-09,-7.000353720566092e-10,-4.160920766662636e-08
-114.0625,-8.312862115644867e-10,-2.788655157289739e-09,-6.977026924664373e-10,-4.149973180642596e-08
-114.5625,-5.714099293641165e-10,-2.2698891158539517e-09,-6.95279481131245e-10,-4.1390312896349034e-08
-115.0625,-1.5902521121802463e-09,-3.121414901460237e-09,-6.927658300113452e-10,-4.128095092626227e-08
-115.5625,-1.7476083931456082e-09,-2.652256970642476e-09,-6.901618310374417e-10,-4.117164588603239e-08
-116.0625,-3.150304534074211e-09,-3.5126661012710197e-09,-6.874675761106294e-10,-4.1062397765526095e-08
-116.5625,-3.152688720149444e-09,-3.083680544166449e-09,-6.846831571023954e-10,-4.095320655461009e-08
-117.0625,-4.7485039331719e-09,-3.766300801918482e-09,-6.81808665854617e-10,-4.0844072243151086e-08
-117.5625,-5.003611843221804e-09,-3.662306073930584e-09,-6.788441941795633e-10,-4.073499482101579e-08
-118.0625,-5.567074485668479e-09,-3.9042397746639294e-09,-6.757898338598943e-10,-4.062597427807091e-08
-118.5625,-6.437302403128433e-09,-4.132894737309748e-09,-6.726456766486612e-10,-4.051701060418315e-08
-119.0625,-6.12258984119771e-09,-4.2628036181682795e-09,-6.694118142693072e-10,-4.040810378921922e-08
-119.5625,-6.078085034460032e-09,-4.329276493252938e-09,-6.660883384156657e-10,-4.029925382304583e-08
-120.0625,-6.608963800545191e-09,-4.772528689849966e-09,-6.626753407519617e-10,-4.0190460695529675e-08
-120.5625,-5.544822082299639e-09,-4.53249906205978e-09,-6.591729129128117e-10,-4.008172439653747e-08
-121.0625,-5.597274175954761e-09,-5.090461274721158e-09,-6.555811465032234e-10,-3.9973044915935925e-08
-121.5625,-4.730225173261782e-09,-4.8249178301944586e-09,-6.519001330985954e-10,-3.9864422243591734e-08
-122.0625,-4.132589197070105e-09,-5.317100764941417e-09,-6.481299642447177e-10,-3.975585636937162e-08
-122.5625,-3.6342943073464603e-09,-5.0579839441296336e-09,-6.442707314577718e-10,-3.964734728314229e-08
-123.0625,-4.142920670062781e-09,-5.626807504439456e-09,-6.403225262243298e-10,-3.953889497477044e-08
-123.5625,-3.1590465496833978e-09,-5.342078564833195e-09,-6.362854400013557e-10,-3.943049943412278e-08
-124.0625,-3.7153566339043735e-09,-5.861968428957393e-09,-6.321595642162041e-10,-3.932216065106602e-08
-124.5625,-3.9203966363743885e-09,-5.722800806529668e-09,-6.279449902666217e-10,-3.921387861546687e-08
-125.0625,-4.328887183930935e-09,-6.0495359319270885e-09,-6.236418095207454e-10,-3.910565331719203e-08
-125.5625,-5.023480060515411e-09,-6.0035692099528e-09,-6.192501133171047e-10,-3.8997484746108214e-08
-126.0625,-5.965233560232348e-09,-6.365712635909087e-09,-6.147699929646184e-10,-3.888937289208212e-08
-126.5625,-6.051064258940728e-09,-6.231032666551627e-09,-6.102015397425982e-10,-3.878131774498046e-08
-127.0625,-7.439455283417934e-09,-6.7261545094892205e-09,-6.055448449007464e-10,-3.867331929466994e-08
-127.5625,-8.235773432545672e-09,-6.558862498362861e-09,-6.007999996591567e-10,-3.8565377531017276e-08
-128.0625,-9.013812821763296e-09,-7.006099734090087e-09,-5.959670952083139e-10,-3.845749244388916e-08
-128.5625,-8.92321375090445e-09,-6.8748230282724785e-09,-5.910462227090937e-10,-3.834966402315231e-08
-129.0625,-9.3102466237839e-09,-7.245561545849395e-09,-5.860374732927637e-10,-3.824189225867343e-08
-129.5625,-9.17355328880389e-09,-7.152474366803115e-09,-5.809409380609826e-10,-3.813417714031923e-08
-130.0625,-9.23713158414343e-09,-7.468628341511799e-09,-5.757567080857995e-10,-3.8026518657956405e-08
-130.5625,-8.509160102505696e-09,-7.4388232468103795e-09,-5.704848744096563e-10,-3.791891680145168e-08
-131.0625,-8.048217461294029e-09,-7.735326930453615e-09,-5.651255280453842e-10,-3.7811371560671744e-08
-131.5625,-7.547538385495152e-09,-7.615728097522309e-09,-5.596787599762076e-10,-3.770388292548332e-08
-132.0625,-7.251104583474547e-09,-8.140519043740658e-09,-5.541446611557408e-10,-3.7596450885753105e-08
-132.5625,-6.142458058491316e-09,-7.695639523022667e-09,-5.485233225079894e-10,-3.748907543134781e-08
-133.0625,-6.806056516097767e-09,-8.488775047064502e-09,-5.42814834927351e-10,-3.738175655213414e-08
-133.5625,-5.775293402905472e-09,-7.945963120235157e-09,-5.370192892786138e-10,-3.72744942379788e-08
-134.0625,-6.550153877356117e-09,-8.632068603346339e-09,-5.311367763969576e-10,-3.7167288478748505e-08
-134.5625,-6.477038837715646e-09,-8.331237431354168e-09,-5.251673870879532e-10,-3.706013926430996e-08
-135.0625,-6.904602873874053e-09,-8.862914265399421e-09,-5.191112121275625e-10,-3.695304658452986e-08
-135.5625,-7.53959109857771e-09,-8.563142245924572e-09,-5.12968342262139e-10,-3.684601042927493e-08
