potential,current,current_filtered_()Hz,current_filtered_50Hz,current_filtered_59Hz,basecurrent_4
-133.375,-3.3949220253930914e-08,-2.7470893349877213e-08,-2.747089334987724e-08,-2.9280986595764066e-08,1.5180303090102046e-08
-133.875,-3.19465039507354e-08,-2.626451397222036e-08,-2.6264513972220384e-08,-2.804296088479877e-08,1.5131264544036487e-08
-134.375,-3.2824679155112794e-08,-2.7510567935519582e-08,-2.7510567935519606e-08,-2.873006152173652e-08,1.5082349037583396e-08
-134.875,-2.993742981800593e-08,-2.668795183018271e-08,-2.668795183018275e-08,-2.7583576285289198e-08,1.503355647359323e-08
-135.375,-2.8007828554450893e-08,-2.7322319570445294e-08,-2.7322319570445317e-08,-2.754933086027481e-08,1.498488675494506e-08
-135.875,-2.5833450853838624e-08,-2.714012397131157e-08,-2.714012397131158e-08,-2.669346356809845e-08,1.493633978454659e-08
-136.375,-2.37011937738888e-08,-2.6980392250682716e-08,-2.6980392250682723e-08,-2.6161869454760592e-08,1.4887915465334156e-08
-136.875,-2.229531871819321e-08,-2.73772663263092e-08,-2.7377266326309192e-08,-2.5871152946058324e-08,1.4839613700272705e-08
-137.375,-2.0135246134032343e-08,-2.694478597577461e-08,-2.6944785975774598e-08,-2.5308778949777555e-08,1.4791434392355825e-08
-137.875,-2.0325981020050964e-08,-2.755408849008857e-08,-2.755408849008853e-08,-2.5594659556798993e-08,1.4743377444605714e-08
-138.375,-2.060572551954494e-08,-2.7110949183354725e-08,-2.711094918335468e-08,-2.5336089018133445e-08,1.4695442760073207e-08
-138.875,-2.1680198710783168e-08,-2.7594967916698267e-08,-2.7594967916698217e-08,-2.584971918298521e-08,1.4647630241837761e-08
-139.375,-2.204100553683506e-08,-2.7284416013909848e-08,-2.7284416013909798e-08,-2.607157287898681e-08,1.4599939793007456e-08
-139.875,-2.4318697967374085e-08,-2.7382704851618604e-08,-2.738270485161855e-08,-2.6518272747075718e-08,1.4552371316719004e-08
-140.3125,-2.691825551806953e-08,-2.7663989329148e-08,-2.7663989329147946e-08,-2.7408322740960305e-08,1.4504924716137735e-08
-140.8125,-2.8475923753888263e-08,-2.7177759222238982e-08,-2.717775922223893e-08,-2.7581217932722122e-08,1.4457599894457613e-08
-141.3125,-3.168821712591852e-08,-2.810593588091761e-08,-2.8105935880917583e-08,-2.8975795094003864e-08,1.4410396754901218e-08
-141.8125,-3.2268369070891824e-08,-2.707258202992232e-08,-2.7072582029922282e-08,-2.8536271910767252e-08,1.4363315200719765e-08
-142.3125,-3.4732028015298995e-08,-2.829414109647208e-08,-2.8294141096472054e-08,-2.998948121506701e-08,1.4316355135193087e-08
-142.8125,-3.408035048806873e-08,-2.6918752437418466e-08,-2.6918752437418456e-08,-2.8891074916082746e-08,1.4269516461629647e-08
-143.3125,-3.5017335615635186e-08,-2.841820642715869e-08,-2.8418206427158685e-08,-3.01497306484927e-08,1.4222799083366531e-08
