potential,forwardcurrent,backwardcurrent,fbcurrent,basecurrent_4,basecurrent_3
-960.0,-1.6174318334378996e-08,-1.2001197974029936e-08,-4.1731203603490625e-09,3.7083831580550605e-09,3.6306739312426538e-09
-964.0,-1.6274454149538773e-08,-1.2050471152918079e-08,-4.223982996620694e-09,3.7384397085002425e-09,3.6598890187695184e-09
-968.0,-1.6407968569751805e-08,-1.193126184915644e-08,-4.476706720595365e-09,3.767269687883113e-09,3.6889465125889055e-09
-972.0,-1.637141104993157e-08,-1.1920135647472021e-08,-4.451275402459549e-09,3.794831768879058e-09,3.7178118500430475e-09
-976.0,-1.6350748103946213e-08,-1.2048881695534589e-08,-4.3018664084116284e-09,3.8210935436204125e-09,3.746450468474179e-09
-980.0,-1.6478699423317045e-08,-1.2075107742362153e-08,-4.403591680954893e-09,3.846031523696458e-09,3.77482780522453e-09
-984.0,-1.6491415082384954e-08,-1.2059213168527266e-08,-4.432201913857688e-09,3.869631140153432e-09,3.802909297636337e-09
-988.0,-1.6384126708999482e-08,-1.206954464151994e-08,-4.314582067479538e-09,3.891886743494514e-09,3.830660383051829e-09
-992.0,-1.6365847949089363e-08,-1.211087053349064e-08,-4.254977415598721e-09,3.9128016036798375e-09,3.858046498813243e-09
-996.0,-1.632054841365994e-08,-1.2182396115747625e-08,-4.138152297912316e-09,3.932387910126482e-09,3.885033082262809e-09
-1000.0,-1.6323727328426914e-08,-1.2241206038936698e-08,-4.082521289490219e-09,3.950666771708481e-09,3.911585570742761e-09
-1004.0,-1.6380947794232503e-08,-1.2362799528773569e-08,-4.018148265458934e-09,3.967668216756811e-09,3.937669401595332e-09
-1008.0,-1.6511283299678558e-08,-1.2407304335511248e-08,-4.1039789641673116e-09,3.9834311930594056e-09,3.9632500121627545e-09
-1012.0,-1.650572019883635e-08,-1.2516976894971953e-08,-3.988743303864397e-09,3.998003567861141e-09,3.9882928397872615e-09
-1016.0,-1.6658308107651242e-08,-1.2666385889019874e-08,-3.991922218631372e-09,4.011442127863848e-09,4.012763321811087e-09
-1020.0,-1.6842685164135913e-08,-1.2702148680148365e-08,-4.140536483987549e-09,4.023812579226298e-09,4.036626895576462e-09
-1024.0,-1.6892753071715807e-08,-1.2633802012658359e-08,-4.258951059057441e-09,4.035189547564225e-09,4.059848998425621e-09
-1028.0,-1.6818843303383584e-08,-1.2612344337981265e-08,-4.206498965402319e-09,4.045656577950301e-09,4.082395067700796e-09
-1032.0,-1.680135927216521e-08,-1.2628238911816148e-08,-4.1731203603490625e-09,4.0553061349141535e-09,4.104230540744221e-09
-1036.0,-1.685699028058731e-08,-1.2694201393230922e-08,-4.1627888873563875e-09,4.064239602442358e-09,4.125320854898127e-09
-1040.0,-1.693010532022778e-08,-1.2761753332029184e-08,-4.168351988198597e-09,4.07256728397844e-09,4.145631447504749e-09
-1044.0,-1.6983352142574644e-08,-1.2752216587728251e-08,-4.2311355548463935e-09,4.080408402422867e-09,4.165127755906319e-09
-1048.0,-1.698812051472511e-08,-1.2857120775038493e-08,-4.130999739686616e-09,4.0878911001330685e-09,4.183775217445071e-09
-1052.0,-1.710017726026105e-08,-1.2869041705414656e-08,-4.231135554846391e-09,4.095152438923413e-09,4.201539269463236e-09
-1056.0,-1.7199518346729086e-08,-1.2921493799069778e-08,-4.278024547659301e-09,4.102338400065225e-09,4.218385349303048e-09
-1060.0,-1.7214618191872222e-08,-1.2909572868693613e-08,-4.305045323178609e-09,4.1096038842867716e-09,4.23427889430674e-09
-1064.0,-1.7252765169075946e-08,-1.2976330078800131e-08,-4.2764350902758155e-09,4.117112711773279e-09,4.249185341816544e-09
-1068.0,-1.7291706874971415e-08,-1.3016861242079088e-08,-4.274845632892327e-09,4.1250376221669136e-09,4.263070129174696e-09
-1072.0,-1.7379921759755025e-08,-1.3048650389748858e-08,-4.331271370006168e-09,4.133560274566799e-09,4.275898693723424e-09
-1076.0,-1.7307601448806294e-08,-1.3092360467794793e-08,-4.215240981011509e-09,4.142871247528996e-09,4.287636472804965e-09
-1080.0,-1.7426810752567935e-08,-1.3175012251736194e-08,-4.251798500831741e-09,4.153170039066529e-09,4.29824890376155e-09
-1084.0,-1.7556351529322252e-08,-1.325289566352713e-08,-4.303455865795119e-09,4.16466506664936e-09,4.307701423935413e-09
-1088.0,-1.7598472149984694e-08,-1.3342700005694231e-08,-4.255772144290463e-09,4.1775736672044105e-09,4.315959470668786e-09
-1092.0,-1.774152331449866e-08,-1.3449988379079705e-08,-4.2915349354189535e-09,4.192122097115545e-09,4.322988481303902e-09
-1096.0,-1.78535800600346e-08,-1.3556482023773434e-08,-4.2970980362611655e-09,4.2085455322235815e-09,4.328753893182995e-09
-1100.0,-1.801173106969171e-08,-1.3666949311925884e-08,-4.344781757765822e-09,4.227088067826277e-09,4.333221143648297e-09
-1104.0,-1.8133324559528576e-08,-1.380046373213892e-08,-4.332860827389656e-09,4.248002718678352e-09,4.33635567004204e-09
-1108.0,-1.826048115020765e-08,-1.3941130710577652e-08,-4.319350439630004e-09,4.271551418991467e-09,4.338122909706459e-09
-1112.0,-1.8343927662840804e-08,-1.4082592417708129e-08,-4.261335245132675e-09,4.2980050224342365e-09,4.338488299983786e-09
-1116.0,-1.8622082704951293e-08,-1.4127891953137553e-08,-4.494190751813738e-09,4.327643302132225e-09,4.337417278216254e-09
-1120.0,-1.8719039605344093e-08,-1.4251074900357912e-08,-4.46796470498618e-09,4.360754950667942e-09,4.3348752817460954e-09
