potential,current,current_filtered_50Hz,current_filtered_60Hz,basecurrent_4
-486.3125,-4.467726286378656e-08,-4.118677167418641e-08,-4.227958358179577e-08,2.7704318505027235e-08
-486.8125,-4.401604859225536e-08,-4.097290836762343e-08,-4.184596768341177e-08,2.7724518240464928e-08
-487.3125,-4.3023432456266784e-08,-4.111886545979973e-08,-4.17319734397888e-08,2.774472713328926e-08
-487.8125,-4.165967802123363e-08,-4.0987267884613335e-08,-4.1295715847358565e-08,2.776494516190654e-08
-488.3125,-4.1147078015058594e-08,-4.105601872309109e-08,-4.101872345869652e-08,2.7785172304731196e-08
-488.8125,-3.996929009389362e-08,-4.113477181216015e-08,-4.068744644216086e-08,2.7805408540185744e-08
-489.3125,-3.8477584339489656e-08,-4.0955366942890755e-08,-4.036991948790798e-08,2.782565384670081e-08
-489.8125,-3.836552759395372e-08,-4.114177650913179e-08,-4.013370551878253e-08,2.7845908202715118e-08
-490.3125,-3.742695300900377e-08,-4.102981822537333e-08,-3.994320331334483e-08,2.7866171586675488e-08
-490.8125,-3.7035151763973835e-08,-4.095022935373319e-08,-3.989403126081233e-08,2.7886443977036846e-08
-491.3125,-3.7996773480984387e-08,-4.1159505019960117e-08,-3.999610589524997e-08,2.7906725352262217e-08
-491.8125,-3.80309468147294e-08,-4.098827234114837e-08,-4.013414834391096e-08,2.7927015690822725e-08
-492.3125,-3.896952139967935e-08,-4.1056408906739166e-08,-4.0485560932781694e-08,2.7947314971197597e-08
-492.8125,-4.031499707480237e-08,-4.111763195379082e-08,-4.066381755822502e-08,2.7967623171874163e-08
-493.3125,-4.081885506536822e-08,-4.102412294096386e-08,-4.118616158403063e-08,2.798794027134785e-08
-493.8125,-4.2228703764522523e-08,-4.091735370511495e-08,-4.128120023964912e-08,2.8008266248122186e-08
-494.3125,-4.3710078045933807e-08,-4.130260617640741e-08,-4.189448815856853e-08,2.80286010807088e-08
-494.8125,-4.342635990298112e-08,-4.071620268221165e-08,-4.1828062861057353e-08,2.804894474762742e-08
-495.3125,-4.523993077754148e-08,-4.141804996379538e-08,-4.234018205479484e-08,2.8069297227405884e-08
-495.8125,-4.4718588755757265e-08,-4.086448713132152e-08,-4.208390892548962e-08,2.8089658498580112e-08
-496.3125,-4.449129634991841e-08,-4.115829263660564e-08,-4.223693000818429e-08,2.8110028539694147e-08
-496.8125,-4.4058169212917786e-08,-4.103856694311133e-08,-4.1899565441083846e-08,2.8130407329300117e-08
-497.3125,-4.27579930732242e-08,-4.097834134887722e-08,-4.16315267941393e-08,2.815079484595826e-08
