potential,forwardcurrent,backwardcurrent,fbcurrent,basecurrent_4
-960.0,-2.4267040602410707e-08,-1.951615248316357e-08,-4.7508881192471335e-09,4.329516198787847e-09
-964.0,-2.4494333008249563e-08,-1.9636156515616955e-08,-4.858176492632608e-09,4.379255813146585e-09
-968.0,-2.4726393786238883e-08,-1.9676687678895912e-08,-5.049706107342971e-09,4.427295372921727e-09
-972.0,-2.485672929168494e-08,-1.9807817913033714e-08,-5.0489113786512246e-09,4.473534989366561e-09
-976.0,-2.496083875030344e-08,-1.987378039444849e-08,-5.087058355854952e-09,4.517886275297101e-09
-980.0,-2.5121373946035776e-08,-1.9921464115953145e-08,-5.1999098300826345e-09,4.560272345092055e-09
-984.0,-2.511024774435136e-08,-2.0039878691023038e-08,-5.070369053328321e-09,4.600627814692852e-09
-988.0,-2.517223658230741e-08,-2.0098688614212108e-08,-5.073547968095301e-09,4.638898801603626e-09
-992.0,-2.5173826039690897e-08,-2.0190877142454444e-08,-4.982948897236457e-09,4.675042924891217e-09
-996.0,-2.5137268519870658e-08,-2.027114474032061e-08,-4.866123779550049e-09,4.709029305185181e-09
-1000.0,-2.523422542026346e-08,-2.0343465051269334e-08,-4.890760368994121e-09,4.7408385646777805e-09
-1004.0,-2.5229457048112997e-08,-2.042055373436853e-08,-4.808903313744464e-09,4.770462827123986e-09
-1008.0,-2.535581891010033e-08,-2.0531021022520982e-08,-4.824797887579349e-09,4.797905717841484e-09
-1012.0,-2.547343875647848e-08,-2.0598572961319242e-08,-4.8748657951592365e-09,4.8231823637106616e-09
-1016.0,-2.5552911625652905e-08,-2.069870877647902e-08,-4.8542028491738866e-09,4.84631939317462e-09
-1020.0,-2.5677684030256747e-08,-2.0767850172660767e-08,-4.909833857595983e-09,4.867354936239178e-09
-1024.0,-2.5746825426438505e-08,-2.082427590977461e-08,-4.922549516663892e-09,4.886338624472847e-09
-1028.0,-2.5854908528515716e-08,-2.0918848624092176e-08,-4.936059904423543e-09,4.903331591006861e-09
-1032.0,-2.596219690190119e-08,-2.1059515602530907e-08,-4.902681299370283e-09,4.9184064705351536e-09
-1036.0,-2.609094294996376e-08,-2.1122299169178703e-08,-4.9686437807850595e-09,4.931647399314389e-09
-1040.0,-2.615531597399505e-08,-2.11922352940522e-08,-4.963080679942849e-09,4.943150015163913e-09
-1044.0,-2.6278498921215403e-08,-2.1266145062384413e-08,-5.01235385883099e-09,4.953021457465799e-09
-1048.0,-2.637704527899169e-08,-2.1394096381755242e-08,-4.982948897236453e-09,4.961380367164826e-09
-1052.0,-2.6475591636767983e-08,-2.1470390336162682e-08,-5.005201300605295e-09,4.968356886768477e-09
