potential,forwardcurrent,backwardcurrent,fbcurrent
-956.0,-1.5162628709788565e-08,-1.1331241686889531e-08,-3.8313870228990334e-09
-960.0,-1.5278659098783227e-08,-1.1289121066227086e-08,-3.989538032556141e-09
-964.0,-1.5320779719445672e-08,-1.1325678586047321e-08,-3.9951011333983515e-09
-968.0,-1.535018468104021e-08,-1.1261305562016037e-08,-4.088879119024172e-09
-972.0,-1.5293758943926366e-08,-1.128594215146011e-08,-4.007816792466257e-09
-976.0,-1.5207928245217987e-08,-1.1293094709685808e-08,-3.914833535532179e-09
-980.0,-1.5121302817817865e-08,-1.1255742461173827e-08,-3.865560356644038e-09
-984.0,-1.4948846691709363e-08,-1.1265279205474758e-08,-3.6835674862346057e-09
-988.0,-1.480261661242842e-08,-1.1250179360331618e-08,-3.5524372520968025e-09
-992.0,-1.4732680487554926e-08,-1.1196932537984753e-08,-3.535747949570173e-09
-996.0,-1.4576118935281309e-08,-1.116275920423975e-08,-3.4133597310415582e-09
-1000.0,-1.4524461570317932e-08,-1.113653315741219e-08,-3.387928412905742e-09
-1004.0,-1.4498235523490372e-08,-1.1096796722824977e-08,-3.401438800665395e-09
-1008.0,-1.448313567834723e-08,-1.1057060288237765e-08,-3.4260753901094655e-09
-1012.0,-1.4370284204119547e-08,-1.1002224008507412e-08,-3.3680601956121345e-09
-1016.0,-1.4379820948420477e-08,-1.097202431822113e-08,-3.407796630199348e-09
-1020.0,-1.4290016606253377e-08,-1.0929903697558684e-08,-3.3601129086946935e-09
-1024.0,-1.4238359241290001e-08,-1.0906061836806358e-08,-3.3322974044836433e-09
-1028.0,-1.4272532575035004e-08,-1.086155703006868e-08,-3.4109755449663243e-09
-1032.0,-1.420259645016151e-08,-1.0783673618277743e-08,-3.418922831883767e-09
-1036.0,-1.4126302495754063e-08,-1.074393718369053e-08,-3.3823653120635333e-09
-1040.0,-1.4057955828264057e-08,-1.06859219891932e-08,-3.3720338390708567e-09
-1044.0,-1.4013451021526379e-08,-1.0627112066004125e-08,-3.386338955522254e-09
-1048.0,-1.3917288849825324e-08,-1.0537307723837025e-08,-3.3799811259882994e-09
-1052.0,-1.3895831175148229e-08,-1.0479292529339694e-08,-3.4165386458085347e-09
-1056.0,-1.3807616290364617e-08,-1.046180849812132e-08,-3.3458077922432964e-09
-1060.0,-1.3749601095867287e-08,-1.0383925086330384e-08,-3.365676009536904e-09
-1064.0,-1.376152202624345e-08,-1.0337830822209217e-08,-3.4236912040342332e-09
-1068.0,-1.3712248847355308e-08,-1.0352135938660615e-08,-3.3601129086946935e-09
-1072.0,-1.376867458446915e-08,-1.0337036093517473e-08,-3.431638490951676e-09
-1076.0,-1.3784569158304035e-08,-1.0364056869036778e-08,-3.420512289267257e-09
-1080.0,-1.3819537220740782e-08,-1.0399819660165269e-08,-3.4197175605755127e-09
-1084.0,-1.3883115516080321e-08,-1.0469755785038763e-08,-3.4133597310415582e-09
-1088.0,-1.3966562028713467e-08,-1.0476113614572718e-08,-3.4904484141407493e-09
-1092.0,-1.4003119548533704e-08,-1.0570686328890284e-08,-3.43243321964342e-09
-1096.0,-1.4169217845108253e-08,-1.064300663983901e-08,-3.526211205269242e-09
-1100.0,-1.422882249698907e-08,-1.0687511446576688e-08,-3.5413110504123818e-09
-1104.0,-1.4352005444209429e-08,-1.0720095322938201e-08,-3.6319101212712275e-09
-1108.0,-1.4444988701143507e-08,-1.0751089741916228e-08,-3.693898959227279e-09
-1112.0,-1.4463267461053625e-08,-1.0786057804352975e-08,-3.6772096567006496e-09
-1116.0,-1.4537971958077583e-08,-1.079638927734565e-08,-3.7415826807319334e-09
-1120.0,-1.4607908082951078e-08,-1.0849636099692515e-08,-3.758271983258563e-09
-1124.0,-1.4785132581210047e-08,-1.0949771914852291e-08,-3.835360666357756e-09
-1128.0,-1.4905931342355172e-08,-1.08655306735274e-08,-4.040400668827772e-09
-1132.0,-1.4799437697661443e-08,-1.0736784625464831e-08,-4.062653072196612e-09
-1136.0,-1.4829637387947725e-08,-1.065413284152343e-08,-4.175504546424296e-09
-1140.0,-1.485506870608354e-08,-1.0612806949552728e-08,-4.242261756530812e-09
-1144.0,-1.491308390058087e-08,-1.0535718266453537e-08,-4.377365634127334e-09
-1148.0,-1.4932952117874478e-08,-1.0573070514965516e-08,-4.359881602908962e-09
