potential,current,current_filtered_50Hz,basecurrent_4
-126.5,-2.5744441240363268e-08,-2.7476803961240774e-08,1.807759146783331e-08
-127.0,-2.6023391011165492e-08,-2.8111937407440192e-08,1.804839851935106e-08
-127.5,-2.6303135510659482e-08,-2.7778070423285662e-08,1.8019324562275566e-08
-128.0,-2.7722520954114706e-08,-2.829344894774636e-08,1.7990369495414813e-08
-128.5,-2.7808351652823092e-08,-2.7968323047934127e-08,1.7961533217606717e-08
-129.0,-2.8616590732326984e-08,-2.8412016876598942e-08,1.7932815627719107e-08
-129.5,-2.8815272905263055e-08,-2.8192534888963365e-08,1.7904216624649733e-08
-130.0,-2.9820604700319534e-08,-2.8458536580344182e-08,1.7875736107326267e-08
-130.5,-3.052473432120494e-08,-2.844068318251706e-08,1.78473739747063e-08
-131.0,-3.0488176801384705e-08,-2.851437432363036e-08,1.7819130125777342e-08
-131.5,-3.0344330908178995e-08,-2.8657408509109157e-08,1.779100445955682e-08
-132.0,-3.04611560258654e-08,-2.858095687478351e-08,1.7762996875092085e-08
-132.5,-3.0490560987459936e-08,-2.8852974845449686e-08,1.7735107271460412e-08
-133.0,-2.9467745161185087e-08,-2.871254618048423e-08,1.7707335547768983e-08
-133.5,-2.9324693996671115e-08,-2.8903419409220154e-08,1.767968160315491e-08
-134.0,-2.881129926180433e-08,-2.8960437869581765e-08,1.7652145336785225e-08
-134.5,-2.773603134187436e-08,-2.884868249091695e-08,1.7624726647856868e-08
-135.0,-2.7600132735586094e-08,-2.9247361312143092e-08,1.759742543559672e-08
-135.5,-2.709786420240373e-08,-2.8919808834614295e-08,1.7570241599261558e-08
-136.0,-2.775431010178448e-08,-2.9453573220749028e-08,1.7543175038138095e-08
-136.5,-2.7235352266075487e-08,-2.9099077445795173e-08,1.751622565154296e-08
-137.0,-2.7413371493026195e-08,-2.9530535237888163e-08,1.74893933388227e-08
-137.5,-2.765576374400819e-08,-2.929182820753753e-08,1.746267799935378e-08
-138.0,-2.896070825585225e-08,-2.9542172899421465e-08,1.743607953254259e-08
-138.5,-2.9304825779377515e-08,-2.9567152733707636e-08,1.7409597837825437e-08
-139.0,-2.952337616960718e-08,-2.9597724002929562e-08,1.7383232814668545e-08
-139.5,-3.093322486876148e-08,-2.9859546590522616e-08,1.7356984362568062e-08
-140.0,-3.1580134023841296e-08,-2.9703131840898324e-08,1.7330852381050057e-08
-140.5,-3.173987449088189e-08,-3.001403755181352e-08,1.7304836769670512e-08
-141.0,-3.1481587666065014e-08,-2.9807576461036766e-08,1.727893742801534e-08
