potential,current,current_filtered_50Hz,basecurrent_3
-137.25,-2.6428702643955067e-08,-2.603704105919769e-08,-1.6763101653231263e-09
-137.75,-2.596219690190119e-08,-2.5915049355717902e-08,-1.6493017259147276e-09
-138.25,-2.6083790391738064e-08,-2.5825163001561138e-08,-1.6223008909387533e-09
-138.75,-2.548535968685464e-08,-2.6134723579403818e-08,-1.5953076631492067e-09
-139.25,-2.393007563711114e-08,-2.5809821848774682e-08,-1.5683220453000917e-09
-139.75,-2.495448092076948e-08,-2.6168643472534756e-08,-1.5413440401454127e-09
-140.25,-2.6044848685842598e-08,-2.623848997273351e-08,-1.514373650439172e-09
-140.75,-2.6198231323349237e-08,-2.6041616909684122e-08,-1.4874108789353753e-09
-141.25,-2.622525209886854e-08,-2.6822806947497592e-08,-1.4604557283880251e-09
-141.75,-2.444188091459444e-08,-2.5893443491623436e-08,-1.433508201551126e-09
-142.25,-2.6085379849121552e-08,-2.6995915169704244e-08,-1.4065683011786814e-09
-142.6875,-2.5399528988146265e-08,-2.6302870438147944e-08,-1.379636030024695e-09
-143.1875,-2.6359561247773318e-08,-2.6675072194140284e-08,-1.3527113908431702e-09
-143.6875,-2.6883287455632782e-08,-2.690847215517513e-08,-1.3257943863881119e-09
-144.1875,-2.5734109767370596e-08,-2.6408548667802946e-08,-1.2988850194135231e-09
-144.6875,-2.7635895526714587e-08,-2.702191375030745e-08,-1.2719832926734084e-09
-145.1875,-2.8401219256864304e-08,-2.662504935050106e-08,-1.2450892089217708e-09
-145.6875,-2.891143507696411e-08,-2.6811103785585896e-08,-1.2182027709126142e-09
-146.1875,-2.9310388880219715e-08,-2.6938721256264055e-08,-1.1913239813999423e-09
-146.6875,-2.8155648091115325e-08,-2.6703739239216598e-08,-1.1644528431377598e-09
-147.1875,-2.7325951336934328e-08,-2.6990296395133872e-08,-1.1375893588800695e-09
-147.6875,-2.6936534277979642e-08,-2.6677314911628317e-08,-1.1107335313808756e-09
-148.1875,-2.7118527148389082e-08,-2.7000456203267043e-08,-1.0838853633941823e-09
-148.6875,-2.5792919690559663e-08,-2.6501968864365714e-08,-1.057044857673993e-09
-149.1875,-2.5738878139521057e-08,-2.710197269875294e-08,-1.0302120169743108e-09
-149.6875,-2.5283498599151606e-08,-2.6360180197454905e-08,-1.003386844049141e-09
-150.1875,-2.6588443110995666e-08,-2.7090840879955923e-08,-9.76569341652486e-10
-150.6875,-2.5889876590952466e-08,-2.6578142317691013e-08,-9.497595125383505e-10
-151.1875,-2.664963722025997e-08,-2.680990483901276e-08,-9.229573594607383e-10
-151.6875,-2.660513241352229e-08,-2.687699839623256e-08,-8.961628851736528e-10
-152.1875,-2.4857524020376685e-08,-2.6459988397908037e-08,-8.693760924310978e-10
-152.6875,-2.5560064183878603e-08,-2.686718322879146e-08,-8.425969839870773e-10
-153.1875,-2.5854908528515716e-08,-2.6469618033443907e-08,-8.158255625955949e-10
-153.6875,-2.6260220161305287e-08,-2.6796329018922206e-08,-7.890618310106549e-10
-154.1875,-2.6832424819361143e-08,-2.6823974873937553e-08,-7.623057919862605e-10
-154.6875,-2.774795227225052e-08,-2.6762431396651388e-08,-7.355574482764161e-10
-155.1875,-2.8501355072024077e-08,-2.7097939402091833e-08,-7.088168026351247e-10
-155.6875,-2.8305851813854985e-08,-2.6622604190359967e-08,-6.820838578163913e-10
-156.1875,-2.9031439109417487e-08,-2.7135404598441715e-08,-6.55358616574218e-10
-156.6875,-2.7694705449903654e-08,-2.6689438128816025e-08,-6.286410816626106e-10
-157.1875,-2.7736826070566106e-08,-2.716214004775941e-08,-6.019312558355717e-10
-157.6875,-2.7612848394654006e-08,-2.6904023509260465e-08,-5.752291418471053e-10
-158.1875,-2.7250452111218626e-08,-2.7294772375400682e-08,-5.485347424512145e-10
-158.6875,-2.6285651479441102e-08,-2.675225226293848e-08,-5.218480604019046e-10
-159.1875,-2.660115877006357e-08,-2.7385740584966328e-08,-4.951690984531782e-10
-159.6875,-2.527714076961765e-08,-2.65591774870077e-08,-4.684978593590398e-10
